Spectrum fil,Time/ch,Fit min,Fit max,Chi-sqr/x,Std Chi-sqr/x,Life-1,Std Life-1,Int-1,Std Int-1,Life-2,Std Life-2,Int-2,Std Int-2,LT_mean,Std LT_mean,Bkg,Std Bkg,T0,Std T0,Area(fit),Area(table),Unnamed: 28
220_2080.dat,0.003,2938,8607,0.5589999999999999,0.019,0.1887,0.0125,33.0729,22.9077,0.2235,0.0058,66.9271,22.9077,0.212,0.0001,0.514,0.0151,3000.0121,0.0337,10005000.0,10005000.0,
220_5050.dat,0.003,2937,8607,0.563,0.019,0.1841,0.0043,61.91,11.9472,0.2258,0.0064,38.09,11.9472,0.2,0.0001,0.5123,0.0151,3000.0123,0.0319,10004900.0,10005000.0,
220_8020.dat,0.003,2937,8606,0.564,0.019,0.1822,0.0018,88.665,5.8366,0.2331,0.0125,11.335,5.8366,0.188,0.0001,0.5131,0.0151,3000.0063,0.0297,10004900.0,10005000.0,
230_2080.dat,0.003,2938,8607,0.5770000000000001,0.019,0.1861,0.0098,26.4208,10.7362,0.2322,0.0033,73.5792,10.7362,0.22,0.0001,0.5139,0.0151,3000.0142,0.0347,10005000.0,10005000.0,
230_5050.dat,0.003,2937,8607,0.575,0.019,0.183,0.0034,56.7697,7.1455,0.2339,0.0041,43.2303,7.1455,0.205,0.0001,0.5121,0.0151,3000.0127,0.0323,10004900.0,10005000.0,
230_8020.dat,0.003,2937,8605,0.57,0.019,0.1818,0.0016,85.5519,4.3675,0.2388,0.0082,14.4481,4.3675,0.19,0.0001,0.5129,0.0151,3000.005,0.0297,10004900.0,10005000.0,
240_2080.dat,0.003,2938,8607,0.589,0.019,0.1846,0.0078,23.8831,6.2201,0.2416,0.0023,76.1169,6.2201,0.228,0.0001,0.5141,0.0152,3000.016,0.0354,10005000.0,10005000.0,
240_5050.dat,0.003,2937,8606,0.5820000000000001,0.019,0.1822,0.0028,54.2434,4.6043,0.2429,0.003,45.7566,4.6043,0.21,0.0001,0.5121,0.0151,3000.0138,0.0326,10005000.0,10005000.0,
240_8020.dat,0.003,2937,8606,0.575,0.019,0.1814,0.0013,83.7984,3.1152,0.2467,0.006,16.2016,3.1152,0.192,0.0001,0.5131,0.0151,3000.0043,0.0297,10004900.0,10005000.0,
250_2080.dat,0.003,2938,8607,0.59,0.019,0.1837,0.0065,22.6424,4.086,0.2513,0.0018,77.3576,4.086,0.236,0.0001,0.5142,0.0152,3000.0183,0.0361,10005000.0,10005000.0,
250_5050.dat,0.003,2937,8607,0.584,0.019,0.1818,0.0023,53.007,3.1903,0.2524,0.0024,46.993,3.1903,0.215,0.0001,0.5124,0.0152,3000.0136,0.0328,10005000.0,10005000.0,
250_8020.dat,0.003,2937,8606,0.578,0.019,0.1811,0.0011,82.5031,2.301,0.2548,0.0047,17.4969,2.301,0.194,0.0001,0.5132,0.0151,3000.0041,0.0296,10004900.0,10005000.0,
260_2080.dat,0.003,2938,8607,0.593,0.019,0.1829,0.0055,21.8666,2.8932,0.261,0.0015,78.1334,2.8932,0.244,0.0001,0.5144,0.0153,3000.0226,0.0367,10004900.0,10005000.0,
260_5050.dat,0.003,2937,8607,0.5920000000000001,0.019,0.1814,0.002,52.0974,2.3389,0.2619,0.002,47.9026,2.3389,0.22,0.0001,0.5127,0.0152,3000.0154,0.033,10004900.0,10005000.0,
260_8020.dat,0.003,2937,8606,0.5770000000000001,0.019,0.1809,0.001,81.7725,1.7291,0.2638,0.0038,18.2275,1.7291,0.196,0.0001,0.5135,0.0152,3000.0047,0.0295,10004900.0,10005000.0,
270_2080.dat,0.003,2938,8607,0.614,0.019,0.1827,0.0048,21.5349,2.192,0.271,0.0013,78.4651,2.192,0.252,0.0001,0.5145,0.0153,3000.0198,0.0372,10005000.0,10005000.0,
270_5050.dat,0.003,2937,8607,0.606,0.019,0.1814,0.0017,51.7624,1.7809,0.2718,0.0017,48.2376,1.7809,0.225,0.0001,0.5131,0.0153,3000.0133,0.0331,10005000.0,10005000.0,
270_8020.dat,0.003,2937,8606,0.588,0.019,0.1807,0.0009,81.3121,1.3368,0.2731,0.0032,18.6879,1.3368,0.198,0.0001,0.5138,0.0152,3000.0044,0.0294,10004900.0,10005000.0,
280_2080.dat,0.003,2938,8607,0.601,0.019,0.1826,0.0043,21.2726,1.7232,0.2809,0.0011,78.7274,1.7232,0.26,0.0001,0.5147,0.0154,3000.0189,0.0378,10005000.0,10005000.0,
280_5050.dat,0.003,2937,8607,0.6,0.019,0.181,0.0015,51.2437,1.4161,0.2814,0.0015,48.7563,1.4161,0.23,0.0001,0.513,0.0153,3000.0144,0.0333,10005000.0,10005000.0,
280_8020.dat,0.003,2937,8605,0.583,0.019,0.1806,0.0008,81.0153,1.0612,0.2826,0.0028,18.9847,1.0612,0.2,0.0001,0.5142,0.0152,3000.0035,0.0294,10005000.0,10005000.0,
