Sim Life-1,Sim Int-1,Sim Life-2,Sim Int-2,TauRatio,Time/ch,Fit min,Fit max,Chi-sqr/x,Std Chi-sqr/x,Life-1,Std Life-1,Int-1,Std Int-1,Life-2,Std Life-2,Int-2,Std Int-2,LT_mean,Std LT_mean,Bkg,Std Bkg,T0,Std T0,Area(fit),Area(table)
150,20,190,80,1.266666667,0.005,1367,8283,1.072,0.017,0.1388,0.0143,13.1482,7.1892,0.1883,0.0021,86.8518,7.1892,0.1818,0.0002,8.4859,0.035,1400.0404,0.0279,5734440,5735000
150,50,190,50,1.266666667,0.005,1367,8283,1.072,0.017,0.1464,0.006,43.0502,11.8846,0.1875,0.0042,56.9498,11.8846,0.1698,0.0001,8.4861,0.035,1400.0324,0.025,5734470,5735000
150,80,190,20,1.266666667,0.005,1366,8283,1.073,0.017,0.1495,0.003,79.7222,11.0024,0.1904,0.0109,20.2778,11.0024,0.1578,0.0001,8.4869,0.035,1400.0291,0.0226,5734430,5735000
150,20,200,80,1.333333333,0.005,1367,8283,1.075,0.017,0.1415,0.0103,15.4298,5.264,0.1986,0.0018,84.5702,5.264,0.1898,0.0002,8.4856,0.0351,1400.0415,0.0279,5734430,5735000
150,50,200,50,1.333333333,0.005,1367,8283,1.072,0.017,0.1471,0.0041,45.4977,6.9145,0.1979,0.0032,54.5023,6.9145,0.1748,0.0001,8.4856,0.035,1400.0326,0.025,5734490,5735000
150,80,200,20,1.333333333,0.005,1366,8283,1.068,0.017,0.1493,0.0022,78.9741,6.4034,0.1993,0.0075,21.0259,6.4034,0.1598,0.0001,8.4867,0.035,1400.0313,0.0224,5734430,5735000
150,20,210,80,1.4,0.005,1367,8283,1.064,0.017,0.1433,0.008,16.9398,3.8569,0.2089,0.0016,83.0602,3.8569,0.1978,0.0002,8.4846,0.0351,1400.0422,0.0281,5734470,5735000
150,50,210,50,1.4,0.005,1367,8283,1.064,0.017,0.1475,0.0031,46.7836,4.4578,0.2081,0.0025,53.2164,4.4578,0.1798,0.0001,8.4852,0.0351,1400.0339,0.0249,5734510,5735000
150,80,210,20,1.4,0.005,1366,8283,1.065,0.017,0.1493,0.0016,79.2618,3.9665,0.2095,0.0057,20.7382,3.9665,0.1618,0.0001,8.4867,0.0351,1400.0321,0.0222,5734460,5735000
150,20,220,80,1.466666667,0.005,1367,8283,1.073,0.017,0.1443,0.0065,17.7857,2.8799,0.219,0.0014,82.2143,2.8799,0.2057,0.0002,8.4847,0.0352,1400.0437,0.0284,5734470,5735000
150,50,220,50,1.466666667,0.005,1367,8283,1.067,0.017,0.1479,0.0025,47.7038,3.1017,0.2184,0.0021,52.2962,3.1017,0.1848,0.0001,8.4849,0.0351,1400.0348,0.025,5734520,5735000
150,80,220,20,1.466666667,0.005,1366,8283,1.067,0.017,0.1493,0.0013,79.2866,2.7018,0.2193,0.0045,20.7134,2.7018,0.1638,0.0001,8.4867,0.0351,1400.0343,0.022,5734430,5735000
150,20,230,80,1.533333333,0.005,1367,8284,1.074,0.017,0.1456,0.0055,18.533,2.2627,0.2293,0.0012,81.467,2.2627,0.2137,0.0002,8.4836,0.0352,1400.0432,0.0286,5734450,5735000
150,50,230,50,1.533333333,0.005,1367,8283,1.074,0.017,0.1482,0.0021,48.3588,2.2837,0.2287,0.0018,51.6412,2.2837,0.1898,0.0001,8.4846,0.0352,1400.0358,0.025,5734510,5735000
150,80,230,20,1.533333333,0.005,1366,8283,1.079,0.017,0.1493,0.0011,79.4064,1.9485,0.2292,0.0038,20.5936,1.9485,0.1658,0.0001,8.4867,0.0351,1400.0352,0.0218,5734430,5735000
150,20,240,80,1.6,0.005,1367,8284,1.061,0.017,0.1463,0.0047,18.9529,1.8012,0.2394,0.0011,81.0471,1.8012,0.2217,0.0002,8.4831,0.0352,1400.0431,0.0289,5734460,5735000
150,50,240,50,1.6,0.005,1367,8283,1.064,0.017,0.1485,0.0018,48.826,1.7564,0.2389,0.0016,51.174,1.7564,0.1948,0.0001,8.4845,0.0352,1400.0341,0.025,5734540,5735000
150,80,240,20,1.6,0.005,1366,8283,1.07,0.017,0.1493,0.0009,79.4788,1.4774,0.2392,0.0033,20.5212,1.4774,0.1678,0.0001,8.4867,0.0352,1400.0359,0.0217,5734410,5735000
150,20,250,80,1.666666667,0.005,1367,8283,1.068,0.017,0.1472,0.0042,19.3608,1.4792,0.2496,0.001,80.6392,1.4792,0.2298,0.0002,8.4836,0.0353,1400.04,0.0292,5734530,5735000
150,50,250,50,1.666666667,0.005,1367,8283,1.064,0.017,0.1487,0.0016,49.1557,1.3967,0.2491,0.0015,50.8443,1.3967,0.1998,0.0001,8.484,0.0352,1400.0321,0.025,5734570,5735000
150,80,250,20,1.666666667,0.005,1366,8283,1.071,0.017,0.1494,0.0008,79.591,1.1532,0.2493,0.0029,20.409,1.1532,0.1698,0.0001,8.4866,0.0352,1400.0367,0.0215,5734430,5735000
