Sim Life-1,Sim Int-1,Sim Life-2,Sim Int-2,TauRatio,Time/ch,Fit min,Fit max,Chi-sqr/x,Std Chi-sqr/x,Life-1,Std Life-1,Int-1,Std Int-1,Life-2,Std Life-2,Int-2,Std Int-2,LT_mean,Std LT_mean,Bkg,Std Bkg,T0,Std T0,Area(fit),Area(table)
220,20,250,80,1.1363636363636365,0.005,1367,8284,1.07,0.017,0.1768,0.056,3.4353,5.358,0.2462,0.002,96.5647,5.358,0.2438,0.0002,8.4839,0.0353,1400.0352,0.0284,5734450.0,5735000.0
220,50,250,50,1.1363636363636365,0.005,1367,8284,1.071,0.017,0.1968,0.0332,14.005,20.6346,0.241,0.0053,85.995,20.6346,0.2348,0.0002,8.4854,0.0353,1400.0325,0.026,5734480.0,5735000.0
220,80,250,20,1.1363636363636365,0.005,1367,8284,1.073,0.017,0.1963,0.0448,15.3173,38.7842,0.2311,0.0079,84.6827,38.7842,0.2258,0.0002,8.4865,0.0353,1400.034,0.0255,5734470.0,5735000.0
220,20,260,80,1.1818181818181819,0.005,1367,8284,1.067,0.017,0.1945,0.0354,7.6816,8.5666,0.2565,0.0029,92.3184,8.5666,0.2518,0.0002,8.4838,0.0354,1400.034,0.0272,5734470.0,5735000.0
220,50,260,50,1.1818181818181819,0.005,1367,8284,1.07,0.017,0.2073,0.0177,27.9008,21.5354,0.2523,0.0067,72.0992,21.5354,0.2398,0.0002,8.4846,0.0354,1400.0315,0.0252,5734510.0,5735000.0
220,80,260,20,1.1818181818181819,0.005,1367,8284,1.059,0.017,0.2122,0.001,52.5405,0.0298,0.245,0.001,47.4595,0.0298,0.2278,0.0001,8.4863,0.0352,1400.0323,0.0205,5734480.0,5735000.0
220,20,270,80,1.2272727272727273,0.005,1367,8284,1.072,0.017,0.2036,0.0246,11.6515,8.819,0.2672,0.0032,88.3485,8.819,0.2598,0.0002,8.483,0.0354,1400.0327,0.0268,5734490.0,5735000.0
220,50,270,50,1.2272727272727273,0.005,1367,8284,1.071,0.017,0.2119,0.0109,36.8251,15.1287,0.264,0.0063,63.1749,15.1287,0.2448,0.0002,8.4839,0.0354,1400.0305,0.0249,5734510.0,5735000.0
220,80,270,20,1.2272727272727273,0.005,1367,8284,1.07,0.017,0.2159,0.0077,68.2158,23.5452,0.2595,0.0161,31.7842,23.5452,0.2298,0.0001,8.4858,0.0354,1400.0321,0.0235,5734480.0,5735000.0
220,20,280,80,1.2727272727272727,0.005,1368,8284,1.064,0.017,0.2085,0.0182,14.476,7.4361,0.2778,0.0031,85.524,7.4361,0.2678,0.0002,8.4824,0.0355,1400.0337,0.0269,5734480.0,5735000.0
220,50,280,50,1.2727272727272727,0.005,1368,8284,1.061,0.017,0.2142,0.0076,41.7532,10.14,0.2753,0.0054,58.2468,10.14,0.2498,0.0002,8.4838,0.0355,1400.0311,0.025,5734500.0,5735000.0
220,80,280,20,1.2727272727272727,0.005,1367,8284,1.069,0.017,0.2173,0.0048,73.6953,12.3939,0.2724,0.013,26.3047,12.3939,0.2318,0.0001,8.4854,0.0354,1400.0326,0.0232,5734470.0,5735000.0
220,20,290,80,1.3181818181818181,0.005,1368,8284,1.07,0.017,0.2119,0.0143,16.4823,6.0177,0.2884,0.0028,83.5177,6.0177,0.2758,0.0002,8.4818,0.0355,1400.0331,0.027,5734480.0,5735000.0
220,50,290,50,1.3181818181818181,0.005,1368,8284,1.066,0.017,0.2156,0.0058,44.5058,7.055,0.2862,0.0046,55.4942,7.055,0.2548,0.0002,8.4835,0.0355,1400.0314,0.0249,5734490.0,5735000.0
220,80,290,20,1.3181818181818181,0.005,1367,8284,1.066,0.017,0.2181,0.0034,76.4545,7.4787,0.2847,0.0106,23.5455,7.4787,0.2338,0.0001,8.4852,0.0355,1400.0322,0.0229,5734480.0,5735000.0
220,20,300,80,1.3636363636363635,0.005,1368,8284,1.072,0.017,0.2147,0.0117,17.9798,4.8905,0.2989,0.0026,82.0202,4.8905,0.2838,0.0002,8.481,0.0356,1400.0311,0.0271,5734490.0,5735000.0
220,50,300,50,1.3636363636363635,0.005,1368,8284,1.069,0.017,0.2166,0.0046,46.3604,5.1254,0.2971,0.0039,53.6396,5.1254,0.2598,0.0002,8.4826,0.0355,1400.0307,0.0249,5734490.0,5735000.0
220,80,300,20,1.3636363636363635,0.005,1367,8284,1.066,0.017,0.2185,0.0026,77.7806,5.0028,0.2961,0.0088,22.2194,5.0028,0.2358,0.0001,8.4854,0.0355,1400.0327,0.0227,5734470.0,5735000.0
220,20,310,80,1.4090909090909092,0.005,1368,8284,1.069,0.017,0.2163,0.0099,18.8044,3.9216,0.3093,0.0023,81.1956,3.9216,0.2918,0.0002,8.4802,0.0356,1400.03,0.0273,5734510.0,5735000.0
220,50,310,50,1.4090909090909092,0.005,1368,8284,1.06,0.017,0.2173,0.0038,47.4353,3.8812,0.3076,0.0034,52.5647,3.8812,0.2648,0.0002,8.4819,0.0356,1400.0302,0.0249,5734490.0,5735000.0
220,80,310,20,1.4090909090909092,0.005,1367,8284,1.065,0.017,0.2188,0.0021,78.4853,3.6092,0.3069,0.0075,21.5147,3.6092,0.2378,0.0001,8.4849,0.0355,1400.0323,0.0226,5734460.0,5735000.0
