Spectrum file,Time/ch,Fit min,Fit max,Chi-sqr/x,Std Chi-sqr/x,Life-1,Std Life-1,Int-1,Std Int-1,Life-2,Std Life-2,Int-2,Std Int-2,LT_mean,Std LT_mean,Bkg,Std Bkg,T0,Std T0,Area(fit),Area(table),Unnamed: 28
180_20_80.dat,0.005,1372,8283,1.066,0.017,0.1387,0.021,11.4011,11.6345,0.1784,0.0026,88.5989,11.6345,0.1738,0.0001,8.4861,0.035,1400.027,0.0228,5734590.0,5735000.0,
180_50_50.dat,0.005,1372,8283,1.061,0.017,0.1471,0.0089,42.6122,23.6921,0.178,0.0063,57.3878,23.6921,0.1648,0.0001,8.4864,0.035,1400.0223,0.0209,5734560.0,5735000.0,
180_80_20.dat,0.005,1372,8283,1.064,0.017,0.1508,0.0032,85.8079,14.8801,0.1864,0.0183,14.1921,14.8801,0.1559,0.0001,8.4869,0.035,1400.02,0.0191,5734480.0,5735000.0,
190_20_80.dat,0.005,1372,8283,1.074,0.017,0.1411,0.0133,14.261,7.6574,0.1886,0.0021,85.739,7.6574,0.1818,0.0001,8.4857,0.035,1400.0317,0.0229,5734490.0,5735000.0,
190_50_50.dat,0.005,1372,8283,1.072,0.017,0.1471,0.0054,44.3999,11.2845,0.1879,0.0041,55.6001,11.2845,0.1698,0.0001,8.4859,0.035,1400.0266,0.0209,5734490.0,5735000.0,
190_80_20.dat,0.005,1372,8283,1.074,0.017,0.15,0.0026,81.1082,9.6609,0.1917,0.0105,18.8918,9.6609,0.1579,0.0001,8.4868,0.035,1400.0227,0.0191,5734470.0,5735000.0,
200_20_80.dat,0.005,1372,8283,1.071,0.017,0.1428,0.0095,16.0592,5.2096,0.1988,0.0018,83.9408,5.2096,0.1898,0.0001,8.4852,0.0351,1400.0347,0.0231,5734480.0,5735000.0,
200_50_50.dat,0.005,1372,8283,1.075,0.017,0.1475,0.0037,46.0914,6.4974,0.1981,0.0031,53.9086,6.4974,0.1748,0.0001,8.4854,0.035,1400.0284,0.0209,5734480.0,5735000.0,
200_80_20.dat,0.005,1372,8283,1.075,0.017,0.1497,0.0019,80.081,5.7231,0.2006,0.0072,19.919,5.7231,0.1598,0.0001,8.4866,0.035,1400.0243,0.019,5734450.0,5735000.0,
210_20_80.dat,0.005,1372,8283,1.07,0.017,0.1445,0.0073,17.468,3.7982,0.2091,0.0015,82.532,3.7982,0.1978,0.0001,8.4847,0.0351,1400.0344,0.0233,5734530.0,5735000.0,
210_50_50.dat,0.005,1372,8283,1.067,0.017,0.1479,0.0028,47.3005,4.1976,0.2084,0.0024,52.6995,4.1976,0.1798,0.0001,8.485,0.0351,1400.0285,0.0209,5734510.0,5735000.0,
210_80_20.dat,0.005,1372,8283,1.068,0.017,0.1496,0.0015,79.8087,3.6453,0.2102,0.0054,20.1913,3.6453,0.1618,0.0001,8.4866,0.035,1400.0259,0.0188,5734460.0,5735000.0,
220_20_80.dat,0.005,1372,8283,1.075,0.017,0.1459,0.006,18.4156,2.8646,0.2193,0.0013,81.5844,2.8646,0.2058,0.0001,8.4843,0.0351,1400.0331,0.0235,5734530.0,5735000.0,
220_50_50.dat,0.005,1372,8283,1.076,0.017,0.1483,0.0023,48.2003,2.9275,0.2187,0.002,51.7997,2.9275,0.1848,0.0001,8.4847,0.0351,1400.0271,0.0209,5734540.0,5735000.0,
220_80_20.dat,0.005,1372,8283,1.078,0.017,0.1496,0.0012,79.782,2.4904,0.22,0.0043,20.218,2.4904,0.1638,0.0001,8.4865,0.0351,1400.0267,0.0187,5734450.0,5735000.0,
230_20_80.dat,0.005,1373,8284,1.068,0.017,0.1469,0.0051,18.9776,2.2237,0.2295,0.0012,81.0224,2.2237,0.2138,0.0001,8.4829,0.0352,1400.0308,0.024,5734560.0,5735000.0,
230_50_50.dat,0.005,1372,8283,1.069,0.017,0.1486,0.0019,48.7034,2.1575,0.2289,0.0018,51.2966,2.1575,0.1898,0.0001,8.4844,0.0352,1400.0277,0.021,5734510.0,5735000.0,
230_80_20.dat,0.005,1372,8283,1.068,0.017,0.1496,0.001,79.7675,1.8099,0.2299,0.0036,20.2325,1.8099,0.1658,0.0001,8.4865,0.0351,1400.0277,0.0186,5734440.0,5735000.0,
