Sim Life-1,Sim Int-1,Sim Life-2,Sim Int-2,TauRatio,Time/ch,Fit min,Fit max,Chi-sqr/x,Std Chi-sqr/x,Life-1,Std Life-1,Int-1,Std Int-1,Life-2,Std Life-2,Int-2,Std Int-2,LT_mean,Std LT_mean,Bkg,Std Bkg,T0,Std T0,Area(fit),Area(table)
150,20,180,80,1.2,0.005,1367,8283,1.067,0.017,0.1332,0.0224,9.0954,8.6297,0.1778,0.0021,90.9046,8.6297,0.1738,0.0002,8.4864,0.035,1400.0367,0.028,5734480.0,5735000.0
150,50,180,50,1.2,0.005,1366,8283,1.066,0.017,0.1457,0.01,39.1311,24.0285,0.1771,0.0061,60.8689,24.0285,0.1648,0.0001,8.4864,0.035,1400.0266,0.0247,5734520.0,5735000.0
150,80,180,20,1.2,0.005,1366,8283,1.068,0.017,0.1507,0.0035,85.4668,16.1807,0.1861,0.0192,14.5332,16.1807,0.1559,0.0001,8.4868,0.035,1400.0216,0.0223,5734510.0,5735000.0
150,20,190,80,1.2666666666666666,0.005,1367,8284,1.069,0.017,0.1391,0.0143,13.2714,7.2823,0.1883,0.0021,86.7286,7.2823,0.1818,0.0002,8.4855,0.035,1400.0362,0.0275,5734540.0,5735000.0
150,50,190,50,1.2666666666666666,0.005,1367,8284,1.064,0.017,0.1464,0.0059,43.0521,11.7932,0.1875,0.0042,56.9479,11.7932,0.1698,0.0001,8.4857,0.035,1400.0315,0.0248,5734490.0,5735000.0
150,80,190,20,1.2666666666666666,0.005,1367,8283,1.072,0.017,0.1496,0.0029,80.0565,10.7758,0.1907,0.0109,19.9435,10.7758,0.1578,0.0001,8.4868,0.035,1400.0272,0.0225,5734440.0,5735000.0
150,20,200,80,1.3333333333333333,0.005,1367,8283,1.071,0.017,0.1417,0.0103,15.4869,5.2588,0.1986,0.0018,84.5131,5.2588,0.1898,0.0002,8.4855,0.0351,1400.0358,0.0276,5734590.0,5735000.0
150,50,200,50,1.3333333333333333,0.005,1367,8283,1.07,0.017,0.1471,0.0041,45.352,6.9137,0.1978,0.0032,54.648,6.9137,0.1748,0.0001,8.4855,0.035,1400.0313,0.0247,5734540.0,5735000.0
150,80,200,20,1.3333333333333333,0.005,1367,8283,1.069,0.017,0.1495,0.0021,79.4488,6.2374,0.1999,0.0075,20.5512,6.2374,0.1598,0.0001,8.4867,0.035,1400.0285,0.0223,5734460.0,5735000.0
150,20,210,80,1.4,0.005,1367,8284,1.064,0.017,0.1431,0.0079,16.8265,3.8045,0.2088,0.0015,83.1735,3.8045,0.1978,0.0002,8.4846,0.0351,1400.0393,0.0278,5734540.0,5735000.0
150,50,210,50,1.4,0.005,1367,8283,1.061,0.017,0.1475,0.0031,46.728,4.4229,0.2081,0.0025,53.272,4.4229,0.1798,0.0001,8.4852,0.0351,1400.0342,0.0247,5734500.0,5735000.0
150,80,210,20,1.4,0.005,1367,8284,1.065,0.017,0.1494,0.0016,79.3156,3.9466,0.2095,0.0057,20.6844,3.9466,0.1618,0.0001,8.4863,0.035,1400.0309,0.0221,5734440.0,5735000.0
150,20,220,80,1.4666666666666666,0.005,1367,8284,1.074,0.017,0.1443,0.0064,17.7716,2.8642,0.219,0.0013,82.2284,2.8642,0.2058,0.0002,8.4843,0.0351,1400.0413,0.0281,5734510.0,5735000.0
150,50,220,50,1.4666666666666666,0.005,1367,8283,1.069,0.017,0.1478,0.0025,47.6465,3.074,0.2184,0.0021,52.3535,3.074,0.1848,0.0001,8.4849,0.0351,1400.0365,0.0247,5734470.0,5735000.0
150,80,220,20,1.4666666666666666,0.005,1367,8283,1.062,0.017,0.1494,0.0013,79.5082,2.6618,0.2196,0.0045,20.4918,2.6618,0.1638,0.0001,8.4866,0.0351,1400.0314,0.0219,5734470.0,5735000.0
150,20,230,80,1.5333333333333334,0.005,1368,8284,1.072,0.017,0.1453,0.0054,18.4303,2.2344,0.2292,0.0012,81.5697,2.2344,0.2138,0.0002,8.4836,0.0352,1400.0416,0.0286,5734540.0,5735000.0
150,50,230,50,1.5333333333333334,0.005,1367,8283,1.072,0.017,0.1481,0.002,48.3,2.2663,0.2286,0.0018,51.7,2.2663,0.1897,0.0001,8.4846,0.0352,1400.0373,0.0247,5734470.0,5735000.0
150,80,230,20,1.5333333333333334,0.005,1367,8283,1.072,0.017,0.1494,0.0011,79.514,1.9301,0.2294,0.0038,20.486,1.9301,0.1658,0.0001,8.4866,0.0351,1400.0333,0.0217,5734440.0,5735000.0
