Sim Life-1,Sim Int-1,Sim Life-2,Sim Int-2,TauRatio,Time/ch,Fit min,Fit max,Chi-sqr/x,Std Chi-sqr/x,Life-1,Std Life-1,Int-1,Std Int-1,Life-2,Std Life-2,Int-2,Std Int-2,LT_mean,Std LT_mean,Bkg,Std Bkg,T0,Std T0,Area(fit),Area(table)
150,20,180,80,1.2,0.005,1367,8283,1.032,0.017,0.14800000000000002,0.0122,18.4329,13.5715,0.1799,0.0026,81.5671,13.5715,0.174,0.0001,8.5252,0.0352,1399.9992,0.0148,17034900.0,17035000.0
150,50,180,50,1.2,0.005,1367,8283,1.032,0.017,0.1474,0.0051,43.1493,13.5156,0.1783,0.0036,56.8507,13.5156,0.165,0.0001,8.5268,0.0352,1400.0029,0.013999999999999999,17034700.0,17035000.0
150,80,180,20,1.2,0.005,1367,8283,1.032,0.017,0.1482,0.0035,71.8336,17.2231,0.1757,0.0082,28.1664,17.2231,0.156,0.0001,8.5286,0.0351,1400.0033,0.0133,17034700.0,17035000.0
150,20,190,80,1.2666666666666666,0.005,1367,8284,1.023,0.017,0.1491,0.0078,19.7158,7.1372,0.1901,0.0018,80.2842,7.1372,0.182,0.0001,8.5245,0.0352,1399.9987,0.015,17035000.0,17035000.0
150,50,190,50,1.2666666666666666,0.005,1367,8283,1.023,0.017,0.1488,0.003,47.7801,6.6911,0.1894,0.0026,52.2199,6.6911,0.17,0.0001,8.5271,0.0352,1400.0024,0.013999999999999999,17034800.0,17035000.0
150,80,190,20,1.2666666666666666,0.005,1367,8283,1.031,0.017,0.149,0.0018,76.7643,6.7234,0.1876,0.0054,23.2357,6.7234,0.158,0.0001,8.5289,0.0352,1400.003,0.013000000000000001,17034800.0,17035000.0
150,20,200,80,1.3333333333333333,0.005,1367,8284,1.033,0.017,0.1505,0.0057,20.7139,4.4481,0.2003,0.0014,79.2861,4.4481,0.19,0.0001,8.5244,0.0353,1399.9957,0.0152,17035000.0,17035000.0
150,50,200,50,1.3333333333333333,0.005,1367,8283,1.034,0.017,0.1492,0.0021,49.0034,3.8405,0.1997,0.0019,50.9966,3.8405,0.175,0.0001,8.5268,0.0353,1400.0012,0.013999999999999999,17034900.0,17035000.0
150,80,200,20,1.3333333333333333,0.005,1367,8283,1.03,0.017,0.1494,0.0012,78.4188,3.4982,0.1986,0.0039,21.5812,3.4982,0.16,0.0001,8.529,0.0352,1400.0026,0.0128,17034800.0,17035000.0
150,20,210,80,1.4,0.005,1367,8284,1.025,0.017,0.1509,0.0044,20.8439,2.8962,0.2104,0.0011,79.1561,2.8962,0.198,0.0001,8.5253,0.0353,1399.9951,0.0154,17035000.0,17035000.0
150,50,210,50,1.4,0.005,1367,8283,1.025,0.017,0.1494,0.0016,49.398999999999994,2.4565,0.2099,0.0015,50.601000000000006,2.4565,0.18,0.0001,8.526,0.0353,1400.0018,0.013999999999999999,17034800.0,17035000.0
150,80,210,20,1.4,0.005,1367,8283,1.028,0.017,0.1495,0.0009,79.1705,2.128,0.2092,0.003,20.8295,2.128,0.162,0.0001,8.5291,0.0353,1400.0027,0.0126,17034800.0,17035000.0
150,20,220,80,1.4666666666666666,0.005,1367,8284,1.033,0.017,0.1507,0.0036,20.5845,1.9964,0.2204,0.0009,79.4155,1.9964,0.20600000000000002,0.0001,8.5239,0.0354,1399.9959,0.0156,17034900.0,17035000.0
150,50,220,50,1.4666666666666666,0.005,1367,8283,1.04,0.017,0.1494,0.0013,49.4573,1.7121,0.2198,0.0012,50.5427,1.7121,0.185,0.0001,8.5256,0.0354,1400.0036,0.013999999999999999,17034700.0,17035000.0
150,80,220,20,1.4666666666666666,0.005,1367,8283,1.035,0.017,0.1496,0.0007,79.5106,1.429,0.2195,0.0024,20.4894,1.429,0.16399999999999998,0.0001,8.5292,0.0353,1400.003,0.0125,17034800.0,17035000.0
150,20,230,80,1.5333333333333334,0.005,1367,8284,1.031,0.017,0.1509,0.0031,20.6179,1.4769,0.2304,0.0008,79.3821,1.4769,0.214,0.0001,8.5251,0.0354,1399.9961,0.0159,17034900.0,17035000.0
150,50,230,50,1.5333333333333334,0.005,1367,8283,1.036,0.017,0.1495,0.0011,49.7093,1.2593,0.23,0.001,50.2907,1.2593,0.19,0.0001,8.5267,0.0354,1400.0034,0.0141,17034700.0,17035000.0
150,80,230,20,1.5333333333333334,0.005,1367,8283,1.035,0.017,0.1497,0.0006,79.6621,1.0312,0.2297,0.002,20.3379,1.0312,0.166,0.0001,8.5295,0.0353,1400.0033,0.0124,17034800.0,17035000.0
